DT_brakePressure,Timestamp,Action,Bump,Traffic congestion
-0.03,1569295203616.0,4,0,0
-0.03,1569295204066.0,4,0,0
-0.03,1569295204536.0,4,0,0
-0.03,1569295204996.0,4,0,0
-0.03,1569295205456.0,4,0,0
-0.03,1569295205926.0,4,0,0
-0.03,1569295206386.0,8,0,0
-0.03,1569295206846.0,8,0,0
-0.03,1569295207296.0,8,0,0
-0.03,1569295207756.0,8,0,0
-0.03,1569295208216.0,8,0,0
-0.03,1569295208676.0,8,0,0
0.09,1569295209136.0,8,0,0
0.27,1569295209596.0,8,0,0
0.6,1569295210056.0,8,0,0
0.72,1569295210506.0,8,0,0
0.9,1569295210966.0,8,0,0
0.9,1569295211426.0,8,0,0
1.02,1569295211886.0,1,0,1
0.6,1569295212346.0,1,0,1
0.6900000000000001,1569295212818.0,1,0,1
0.39,1569295213266.0,1,0,1
0.0,1569295213726.0,1,0,1
0.0,1569295214186.0,1,0,1
0.09,1569295214646.0,1,0,1
0.39,1569295215106.0,1,0,1
0.09,1569295215566.0,1,0,1
0.15,1569295216026.0,1,0,1
0.33,1569295216487.0,1,0,1
0.78,1569295217007.0,1,0,1
0.54,1569295217416.0,1,0,1
1.2,1569295217865.0,1,0,1
0.54,1569295218325.0,1,0,1
0.5700000000000001,1569295218796.0,1,0,1
0.09,1569295219246.0,1,0,1
0.0,1569295219716.0,1,0,1
-0.03,1569295220187.0,1,0,1
-0.03,1569295220636.0,1,0,1
-0.03,1569295221096.0,1,0,1
-0.03,1569295221556.0,1,0,1
-0.03,1569295222016.0,1,0,1
-0.03,1569295222476.0,1,0,1
-0.03,1569295222936.0,1,0,1
-0.03,1569295223396.0,1,0,1
-0.03,1569295223856.0,1,0,1
-0.03,1569295224316.0,1,0,1
-0.03,1569295224776.0,1,0,1
-0.03,1569295225239.0,1,0,1
-0.03,1569295225696.0,1,0,1
-0.03,1569295226166.0,1,0,1
0.15,1569295226626.0,1,0,1
0.18,1569295227086.0,1,0,1
0.33,1569295227546.0,1,0,1
0.54,1569295228006.0,1,0,1
0.5700000000000001,1569295228466.0,1,0,1
0.24,1569295228926.0,1,0,1
0.36,1569295229387.0,1,0,1
0.36,1569295229846.0,1,0,1
0.39,1569295230306.0,1,0,1
0.36,1569295230805.0,1,0,1
0.27,1569295231216.0,1,0,1
0.0,1569295231676.0,1,0,1
-0.03,1569295232135.0,1,0,1
-0.03,1569295232614.0,1,0,1
-0.03,1569295233066.0,1,0,1
-0.03,1569295233515.0,1,0,1
-0.03,1569295233976.0,1,0,1
-0.03,1569295234436.0,1,0,1
-0.03,1569295234896.0,1,0,1
-0.03,1569295235345.0,1,0,1
-0.03,1569295235815.0,1,0,1
-0.03,1569295236276.0,1,0,1
-0.03,1569295236736.0,1,0,1
-0.03,1569295237196.0,1,0,1
-0.03,1569295237656.0,1,0,1
-0.03,1569295238115.0,1,0,1
-0.03,1569295238586.0,1,0,1
-0.03,1569295239045.0,1,0,1
-0.03,1569295239495.0,1,0,1
-0.03,1569295239956.0,1,0,1
-0.03,1569295240416.0,1,0,1
-0.03,1569295240886.0,1,0,1
-0.03,1569295241356.0,1,0,1
-0.03,1569295241816.0,1,0,1
-0.03,1569295242276.0,1,0,1
-0.03,1569295242736.0,1,0,1
-0.03,1569295243206.0,1,0,1
-0.03,1569295243666.0,1,0,1
-0.03,1569295244125.0,1,0,1
-0.03,1569295244586.0,1,0,1
-0.03,1569295245045.0,1,0,1
-0.03,1569295245506.0,1,0,1
-0.03,1569295245977.0,1,0,1
-0.03,1569295246427.0,5,0,1
-0.03,1569295246886.0,5,0,1
-0.03,1569295247346.0,5,0,1
-0.03,1569295247806.0,5,0,1
0.09,1569295248266.0,1,0,1
0.48,1569295248726.0,1,0,1
1.2,1569295249186.0,1,0,1
0.84,1569295249647.0,1,0,1
-0.03,1569295250106.0,1,0,1
-0.03,1569295250566.0,1,0,1
