DT_steerAngle,Timestamp,Action,Bump,Traffic congestion
2.0,1569377076736.0,1,0,1
1.9000000000000001,1569377077191.0,1,0,1
1.9000000000000001,1569377077656.0,1,0,1
1.9000000000000001,1569377078117.0,1,0,1
1.9000000000000001,1569377078585.0,1,0,1
1.9000000000000001,1569377079051.0,1,0,1
1.9000000000000001,1569377079501.0,1,0,1
1.8,1569377079961.0,1,0,1
1.8,1569377080427.0,1,0,1
1.7000000000000002,1569377080887.0,1,0,1
1.7000000000000002,1569377081341.0,1,0,1
1.7000000000000002,1569377081808.0,1,0,1
1.6,1569377082275.0,1,0,1
1.6,1569377082741.0,1,0,1
1.6,1569377083196.0,1,0,1
1.5,1569377083651.0,1,0,1
-0.1,1569377084111.0,0,0,0
0.0,1569377084571.0,0,0,0
0.2,1569377085036.0,0,0,0
0.5,1569377085498.0,0,0,0
0.9,1569377085961.0,0,0,0
1.5,1569377086416.0,0,0,0
1.7000000000000002,1569377086876.0,0,0,0
1.8,1569377087337.0,0,0,0
1.8,1569377087797.0,0,0,0
1.8,1569377088261.0,0,0,0
1.7000000000000002,1569377088726.0,0,0,0
1.7000000000000002,1569377089187.0,0,0,0
1.7000000000000002,1569377089651.0,0,0,0
1.7000000000000002,1569377090105.0,0,0,0
1.7000000000000002,1569377090567.0,0,0,0
1.7000000000000002,1569377091030.0,0,0,0
1.7000000000000002,1569377091498.0,0,0,0
1.7000000000000002,1569377091951.0,0,0,0
1.7000000000000002,1569377092410.0,0,0,0
1.7000000000000002,1569377092871.0,0,0,0
1.7000000000000002,1569377093330.0,0,0,0
1.7000000000000002,1569377093797.0,0,0,0
1.7000000000000002,1569377094265.0,0,0,0
1.7000000000000002,1569377094727.0,0,0,0
1.7000000000000002,1569377095186.0,0,0,0
1.7000000000000002,1569377095650.0,0,0,0
1.7000000000000002,1569377096106.0,0,0,0
1.7000000000000002,1569377096567.0,0,0,0
1.8,1569377097020.0,0,0,0
1.8,1569377097486.0,0,0,0
1.8,1569377097949.0,0,0,0
1.8,1569377098416.0,0,0,0
1.8,1569377098938.0,0,0,0
1.8,1569377099336.0,0,0,0
1.8,1569377099796.0,0,0,0
1.8,1569377100257.0,0,0,0
1.8,1569377100720.0,0,0,0
1.8,1569377101180.0,0,0,0
1.8,1569377101646.0,0,0,0
1.8,1569377102100.0,0,0,0
1.8,1569377102565.0,0,0,0
1.8,1569377103024.0,0,0,0
1.8,1569377103483.0,0,0,0
1.8,1569377103945.0,0,0,0
1.8,1569377104408.0,0,0,0
1.8,1569377104870.0,0,0,0
1.8,1569377105325.0,0,0,0
1.8,1569377105790.0,0,0,0
1.8,1569377106245.0,0,0,0
1.8,1569377106705.0,0,0,0
1.8,1569377107165.0,0,0,0
1.8,1569377107625.0,0,0,0
1.8,1569377108085.0,0,0,0
1.8,1569377108550.0,0,0,0
1.8,1569377109015.0,1,0,1
1.8,1569377109484.0,1,0,1
1.8,1569377109940.0,1,0,1
1.8,1569377110400.0,1,0,1
1.8,1569377110855.0,1,0,1
1.8,1569377111315.0,1,0,1
1.8,1569377111775.0,1,0,1
1.8,1569377112235.0,1,0,1
1.8,1569377112715.0,1,0,1
1.8,1569377113160.0,1,0,1
1.8,1569377113620.0,1,0,1
1.8,1569377114079.0,1,0,1
1.7000000000000002,1569377114550.0,1,0,1
1.8,1569377115007.0,1,0,1
1.7000000000000002,1569377115472.0,1,0,1
1.7000000000000002,1569377115929.0,1,0,1
1.7000000000000002,1569377116393.0,1,0,1
1.7000000000000002,1569377116860.0,1,0,1
1.7000000000000002,1569377117325.0,1,0,1
1.7000000000000002,1569377117789.0,1,0,1
1.7000000000000002,1569377118244.0,1,0,1
1.7000000000000002,1569377118709.0,1,0,1
1.7000000000000002,1569377119164.0,1,0,1
1.6,1569377119635.0,1,0,1
0.7000000000000001,1569377120095.0,1,0,1
-0.30000000000000004,1569377120560.0,1,0,1
-0.7000000000000001,1569377121019.0,1,0,1
-2.1,1569377121484.0,1,0,1
-2.1,1569377121944.0,1,0,1
-2.1,1569377122404.0,1,0,1
-1.9000000000000001,1569377122864.0,1,0,1
-0.8,1569377123324.0,1,0,1
0.8,1569377123788.0,1,0,1
0.8,1569377124244.0,1,0,1
0.8,1569377124709.0,1,0,1
0.8,1569377125171.0,1,0,1
0.8,1569377125624.0,1,0,1
0.8,1569377126089.0,1,0,1
0.6000000000000001,1569377126549.0,1,0,1
0.6000000000000001,1569377127009.0,1,0,1
0.6000000000000001,1569377127469.0,1,0,1
0.6000000000000001,1569377127929.0,1,0,1
0.6000000000000001,1569377128389.0,1,0,1
0.6000000000000001,1569377128849.0,1,0,1
0.7000000000000001,1569377129309.0,1,0,1
0.8,1569377129764.0,1,0,1
0.8,1569377130224.0,1,0,1
1.1,1569377130689.0,1,0,1
1.3,1569377131144.0,1,0,1
1.9000000000000001,1569377131609.0,1,0,1
2.3000000000000003,1569377132069.0,1,0,1
2.3000000000000003,1569377132529.0,1,0,1
2.3000000000000003,1569377132994.0,1,0,1
2.3000000000000003,1569377133449.0,1,0,1
2.3000000000000003,1569377133914.0,1,0,1
2.3000000000000003,1569377134374.0,1,0,1
2.3000000000000003,1569377134834.0,1,0,1
1.9000000000000001,1569377135299.0,1,0,1
1.9000000000000001,1569377135759.0,1,0,1
1.7000000000000002,1569377136224.0,1,0,1
1.2000000000000002,1569377136688.0,1,0,1
1.4000000000000001,1569377137143.0,1,0,1
1.4000000000000001,1569377137604.0,1,0,1
1.4000000000000001,1569377138069.0,1,0,1
1.4000000000000001,1569377138529.0,1,0,1
1.4000000000000001,1569377138989.0,1,0,1
1.4000000000000001,1569377139454.0,1,0,1
1.4000000000000001,1569377139918.0,1,0,1
1.3,1569377140379.0,1,0,1
1.3,1569377140839.0,1,0,1
1.3,1569377141298.0,1,0,1
1.3,1569377141759.0,1,0,1
1.3,1569377142213.0,0,0,0
1.3,1569377142679.0,0,0,0
1.3,1569377143138.0,0,0,0
1.3,1569377143599.0,1,0,1
1.3,1569377144058.0,1,0,1
1.3,1569377144518.0,1,0,1
1.3,1569377144978.0,1,0,1
1.3,1569377145442.0,1,0,1
1.3,1569377145908.0,1,0,1
1.3,1569377146367.0,1,0,1
1.3,1569377146827.0,1,0,1
1.3,1569377147287.0,1,0,1
1.3,1569377147748.0,1,0,1
1.3,1569377148213.0,1,0,1
1.3,1569377148733.0,1,0,1
