accPre_data,Timestamp,Action,Bump,Traffic congestion
30.615000000000002,1577072524963,2,0,0
30.615000000000002,1577072525453,2,0,0
30.615000000000002,1577072525893,2,0,0
30.615000000000002,1577072526383,1,0,0
30.615000000000002,1577072526833,1,0,0
14.5225,1577072527333,1,0,0
14.5225,1577072527783,1,0,0
14.5225,1577072528273,1,0,0
14.5225,1577072528712,1,0,0
14.5225,1577072529203,1,0,0
14.5225,1577072529652,1,0,0
14.5225,1577072530143,1,0,0
14.5225,1577072530592,1,0,0
14.5225,1577072531083,1,0,0
14.5225,1577072531532,1,0,0
14.5225,1577072532032,1,0,0
14.5225,1577072532472,1,0,0
14.5225,1577072532962,1,0,0
14.5225,1577072533402,1,0,0
14.5225,1577072533892,1,0,0
14.5225,1577072534332,1,0,0
14.5225,1577072534823,0,0,0
14.5225,1577072535272,0,0,0
14.5225,1577072535763,0,0,0
14.5225,1577072536212,0,0,0
14.5225,1577072536702,0,0,0
14.5225,1577072537152,0,0,0
14.5225,1577072537642,0,0,0
14.5225,1577072538092,0,0,0
14.5225,1577072538582,0,0,0
14.5225,1577072539032,0,0,0
14.5225,1577072539522,0,0,0
14.5225,1577072539962,0,0,0
14.5225,1577072540452,0,0,0
14.5225,1577072540892,0,0,0
14.5225,1577072541382,0,0,0
14.5225,1577072541832,0,0,0
14.5225,1577072542342,0,0,0
14.5225,1577072542782,0,0,0
14.5225,1577072543272,0,0,0
14.5225,1577072543722,0,0,0
14.5225,1577072544212,0,0,0
14.5225,1577072544662,0,0,0
14.5225,1577072545162,0,0,0
14.5225,1577072545613,0,0,0
14.5225,1577072546103,0,0,0
14.5225,1577072546553,0,0,0
14.5225,1577072547042,0,0,0
14.5225,1577072547492,0,0,0
14.5225,1577072547982,0,0,0
14.5225,1577072548433,0,0,0
14.5225,1577072548922,0,0,0
14.5225,1577072549373,0,0,0
14.5225,1577072549862,0,0,0
14.5225,1577072550313,0,0,0
14.5225,1577072550802,0,0,0
14.5225,1577072551253,0,0,0
14.5225,1577072551742,0,0,0
14.5225,1577072552193,0,0,0
14.5225,1577072552682,0,0,0
14.5225,1577072553132,0,0,0
14.5225,1577072553622,0,0,0
14.5225,1577072554072,0,0,0
14.5225,1577072554562,0,0,0
14.5225,1577072555012,0,0,0
14.5225,1577072555502,0,0,0
14.5225,1577072555952,0,0,0
14.5225,1577072556442,0,0,0
14.5225,1577072556882,0,0,0
14.5225,1577072557382,0,0,0
14.5225,1577072557822,0,0,0
14.5225,1577072558312,0,0,0
14.5225,1577072558752,0,0,0
14.5225,1577072559252,0,0,0
