acceleration_data,Timestamp,Action,Bump,Traffic congestion
0.555,1577001806034,8,0,0
0.593,1577001806474,8,0,0
0.6,1577001806975,8,0,0
0.607,1577001807415,8,0,0
0.59,1577001807914,8,0,0
0.514,1577001808354,8,0,0
0.529,1577001808844,8,0,0
0.46900000000000003,1577001809284,8,0,0
0.366,1577001809775,8,0,0
0.40900000000000003,1577001810215,8,0,0
0.5,1577001810704,8,0,0
0.524,1577001811154,8,0,0
0.386,1577001811655,8,0,0
0.164,1577001812094,8,0,0
0.067,1577001812584,8,0,0
0.09,1577001813024,8,0,0
0.14,1577001813524,8,0,0
0.169,1577001813964,8,0,0
0.178,1577001814455,8,0,0
0.171,1577001814894,8,0,0
0.20500000000000002,1577001815384,8,0,0
0.211,1577001815834,8,0,0
0.251,1577001816324,8,0,0
0.25,1577001816774,8,0,0
0.122,1577001817264,8,0,0
-0.026000000000000002,1577001817714,8,0,0
-0.073,1577001818204,8,0,0
-0.035,1577001818654,3,0,0
-0.002,1577001819144,3,0,0
-0.085,1577001819584,3,0,0
-0.969,1577001820074,3,0,0
-1.582,1577001820524,3,0,0
-1.842,1577001821014,3,0,0
-1.411,1577001821464,3,0,0
-0.679,1577001821954,3,0,0
-0.425,1577001822394,3,0,0
-0.323,1577001822884,3,0,0
-0.23500000000000001,1577001823334,3,0,0
-0.133,1577001823824,3,0,0
-0.011,1577001824264,3,0,0
0.15,1577001824754,3,0,0
0.363,1577001825204,3,0,0
0.47800000000000004,1577001825694,3,0,0
0.556,1577001826144,1,0,0
0.609,1577001826634,1,0,0
0.631,1577001827074,1,0,0
0.655,1577001827564,1,0,0
0.669,1577001828014,1,0,0
0.588,1577001828504,1,0,0
0.371,1577001828944,1,0,0
0.182,1577001829444,1,0,0
0.23800000000000002,1577001829884,1,0,0
0.355,1577001830374,1,0,0
0.387,1577001830814,1,0,0
0.375,1577001831314,1,0,0
0.358,1577001831754,1,0,0
0.269,1577001832244,1,0,0
0.20500000000000002,1577001832684,1,0,0
0.262,1577001833174,1,0,0
0.334,1577001833614,1,0,0
0.32,1577001834104,1,0,0
0.267,1577001834544,1,0,0
0.09,1577001835034,1,0,0
0.1,1577001835474,1,0,0
0.179,1577001835964,1,0,0
0.259,1577001836404,1,0,0
0.364,1577001836894,1,0,0
0.323,1577001837334,1,0,0
0.325,1577001837824,1,0,0
0.21,1577001838268,1,0,0
0.107,1577001838764,1,0,0
0.12,1577001839204,1,0,0
0.211,1577001839694,1,0,0
0.145,1577001840134,1,0,0
0.138,1577001840634,1,0,0
0.036000000000000004,1577001841074,1,0,0
-0.048,1577001841564,1,0,0
-0.114,1577001842014,1,0,0
-0.115,1577001842504,1,0,0
-0.151,1577001842944,1,0,0
-0.165,1577001843434,1,0,0
-0.336,1577001843874,1,0,0
