DT_tiltAccAngle,Timestamp,Action,Bump,Traffic congestion
0.0,1569398272962.0,2,0,0
0.0,1569398273431.0,2,0,0
0.0,1569398273881.0,2,0,0
0.0,1569398274342.0,2,0,0
0.0,1569398274802.0,2,0,0
0.0,1569398275261.0,2,0,0
0.0,1569398275731.0,2,0,0
0.0,1569398276192.0,2,0,0
0.0,1569398276641.0,2,0,0
0.0,1569398277102.0,-1,0,0
0.0,1569398277563.0,-1,0,0
0.0,1569398278022.0,-1,0,0
0.0,1569398278482.0,-1,0,0
0.0,1569398278952.0,-1,0,0
0.0,1569398279402.0,-1,0,0
0.0,1569398279862.0,-1,0,0
0.0,1569398280331.0,-1,0,0
0.0,1569398280792.0,-1,0,0
0.0,1569398281252.0,-1,0,0
0.0,1569398281701.0,-1,0,0
0.0,1569398282162.0,-1,0,0
0.0,1569398282632.0,-1,0,0
0.0,1569398283092.0,-1,0,0
0.0,1569398283552.0,-1,0,0
0.0,1569398284012.0,-1,0,0
0.0,1569398284472.0,-1,0,0
0.0,1569398284932.0,-1,0,0
0.0,1569398285392.0,-1,0,0
0.0,1569398285852.0,-1,0,0
0.0,1569398286301.0,-1,0,0
0.0,1569398286762.0,-1,0,0
0.0,1569398287222.0,-1,0,0
0.0,1569398287681.0,-1,0,0
0.0,1569398288141.0,-1,0,0
0.0,1569398288602.0,-1,0,0
0.0,1569398289062.0,-1,0,0
0.0,1569398289522.0,-1,0,0
0.0,1569398289972.0,-1,0,0
0.0,1569398290445.0,0,0,0
0.0,1569398290902.0,0,0,0
0.0,1569398291362.0,0,0,0
0.0,1569398291822.0,0,0,0
0.0,1569398292282.0,0,0,0
0.0,1569398292761.0,0,0,0
0.0,1569398293222.0,0,0,0
0.0,1569398293681.0,0,0,0
0.0,1569398294142.0,0,0,0
0.0,1569398294602.0,0,0,0
0.0,1569398295062.0,1,0,0
0.0,1569398295522.0,1,0,0
0.0,1569398295992.0,1,0,0
0.0,1569398296442.0,1,0,0
0.0,1569398296902.0,1,0,0
0.0,1569398297372.0,1,0,0
0.0,1569398297832.0,1,0,0
0.0,1569398298292.0,1,0,0
0.0,1569398298752.0,1,0,0
0.0,1569398299212.0,1,0,0
0.0,1569398299672.0,0,0,0
0.0,1569398300132.0,0,0,0
0.0,1569398300593.0,0,0,0
0.0,1569398301052.0,0,0,0
0.0,1569398301512.0,0,0,0
0.0,1569398301963.0,0,0,0
0.0,1569398302422.0,0,0,0
0.0,1569398302882.0,0,0,0
0.0,1569398303351.0,0,0,0
0.0,1569398303812.0,0,0,0
0.0,1569398304272.0,0,0,0
0.0,1569398304722.0,0,0,0
0.0,1569398305182.0,0,0,0
0.0,1569398305652.0,0,0,0
0.0,1569398306102.0,0,0,0
0.0,1569398306572.0,0,0,0
0.0,1569398307032.0,0,0,0
0.0,1569398307491.0,0,0,0
0.0,1569398307942.0,0,0,0
0.0,1569398308402.0,0,0,0
0.0,1569398308862.0,0,0,0
0.0,1569398309322.0,0,0,0
0.0,1569398309782.0,0,0,0
0.0,1569398310241.0,0,0,0
0.0,1569398310702.0,0,0,0
0.0,1569398311172.0,0,0,0
0.0,1569398311632.0,0,0,0
0.0,1569398312091.0,0,0,0
0.0,1569398312552.0,0,0,0
0.0,1569398313012.0,0,0,0
0.0,1569398313482.0,0,0,0
0.0,1569398313941.0,0,0,0
0.0,1569398314411.0,0,0,0
0.0,1569398314872.0,0,0,0
0.0,1569398315331.0,0,0,0
0.0,1569398315792.0,0,0,0
0.0,1569398316262.0,0,0,0
0.0,1569398316722.0,0,0,0
0.0,1569398317192.0,0,0,0
0.0,1569398317642.0,0,0,0
0.0,1569398318112.0,0,0,0
0.0,1569398318601.0,0,0,0
0.0,1569398319032.0,0,0,0
0.0,1569398319502.0,0,0,0
0.0,1569398319962.0,0,0,0
0.0,1569398320422.0,0,0,0
0.0,1569398320882.0,0,0,0
0.0,1569398321342.0,4,0,0
0.0,1569398321812.0,4,0,0
0.0,1569398322282.0,4,0,0
0.0,1569398322742.0,4,0,0
0.0,1569398323202.0,4,0,0
0.0,1569398323662.0,4,0,0
0.0,1569398324122.0,4,0,0
0.0,1569398324582.0,4,0,0
0.0,1569398325042.0,4,0,0
0.0,1569398325502.0,4,0,0
0.0,1569398325969.0,4,0,0
0.0,1569398326432.0,4,0,0
0.0,1569398326892.0,4,0,0
0.0,1569398327352.0,4,0,0
0.0,1569398327812.0,4,0,0
0.0,1569398328272.0,4,0,0
0.0,1569398328742.0,4,0,0
0.0,1569398329201.0,2,1,0
0.0,1569398329662.0,2,1,0
0.0,1569398330159.0,2,1,0
0.0,1569398330582.0,2,1,0
0.0,1569398331042.0,2,1,0
0.0,1569398331502.0,2,1,0
0.0,1569398331962.0,2,1,0
0.0,1569398332422.0,2,1,0
0.0,1569398332882.0,2,1,0
0.0,1569398333342.0,2,1,0
0.0,1569398333794.0,2,1,0
0.0,1569398334252.0,2,1,0
0.0,1569398334712.0,1,1,0
0.0,1569398335172.0,1,1,0
0.0,1569398335632.0,1,1,0
0.0,1569398336092.0,1,1,0
0.0,1569398336552.0,1,1,0
0.0,1569398337012.0,1,1,0
0.0,1569398337472.0,2,1,0
0.0,1569398337933.0,2,1,0
0.0,1569398338392.0,2,1,0
0.0,1569398338857.0,2,1,0
0.0,1569398339322.0,2,1,0
0.0,1569398339782.0,2,1,0
0.0,1569398340232.0,2,1,0
0.0,1569398340737.0,2,1,0
0.0,1569398341172.0,2,1,0
0.0,1569398341632.0,2,1,0
0.0,1569398342092.0,2,1,0
0.0,1569398342553.0,3,0,0
0.0,1569398343022.0,3,0,0
0.0,1569398343482.0,3,0,0
0.0,1569398343942.0,3,0,0
0.0,1569398344402.0,3,0,0
0.0,1569398344862.0,3,0,0
0.0,1569398345322.0,3,0,0
0.0,1569398345782.0,3,0,0
0.0,1569398346242.0,5,0,0
0.0,1569398346702.0,5,0,0
0.0,1569398347162.0,5,0,0
0.0,1569398347622.0,5,0,0
0.0,1569398348097.0,5,0,0
0.0,1569398348542.0,5,0,0
0.0,1569398349002.0,5,0,0
0.0,1569398349472.0,5,0,0
0.0,1569398349932.0,5,0,0
0.0,1569398350391.0,5,0,0
0.0,1569398350852.0,1,0,0
0.0,1569398351312.0,1,0,0
0.0,1569398351772.0,1,0,0
0.0,1569398352232.0,1,0,0
0.0,1569398352682.0,1,0,0
0.0,1569398353152.0,1,0,0
0.0,1569398353612.0,1,0,0
0.0,1569398354072.0,1,0,0
0.0,1569398354532.0,1,0,0
0.0,1569398354993.0,1,0,0
0.0,1569398355469.0,1,0,0
0.0,1569398355922.0,2,0,0
0.0,1569398356382.0,2,0,0
0.0,1569398356841.0,2,0,0
0.0,1569398357301.0,2,0,0
0.0,1569398357773.0,2,0,0
0.0,1569398358232.0,2,0,0
0.0,1569398358692.0,2,0,0
0.0,1569398359142.0,2,0,0
0.0,1569398359602.0,2,0,0
0.0,1569398360062.0,2,0,0
0.0,1569398360522.0,1,0,0
0.0,1569398360982.0,1,0,0
0.0,1569398361453.0,1,0,0
0.0,1569398361912.0,1,0,0
0.0,1569398362372.0,1,0,0
0.0,1569398362832.0,1,0,0
0.0,1569398363292.0,1,0,0
0.0,1569398363753.0,1,0,0
0.0,1569398364212.0,1,0,0
0.0,1569398364682.0,1,0,0
0.0,1569398365142.0,1,0,0
0.0,1569398365602.0,4,0,0
0.0,1569398366063.0,4,0,0
0.0,1569398366533.0,4,0,0
0.0,1569398367019.0,4,0,0
0.0,1569398367442.0,4,0,0
0.0,1569398367903.0,4,0,0
0.0,1569398368372.0,4,0,0
0.0,1569398368833.0,4,0,0
0.0,1569398369292.0,4,0,0
0.0,1569398369752.0,4,0,0
0.0,1569398370212.0,1,0,0
0.0,1569398370671.0,1,0,0
0.0,1569398371131.0,1,0,0
0.0,1569398371602.0,1,0,0
0.0,1569398372063.0,1,0,0
0.0,1569398372532.0,1,0,0
0.0,1569398372983.0,1,0,0
0.0,1569398373452.0,1,0,0
0.0,1569398373902.0,1,0,0
0.0,1569398374362.0,1,0,0
0.0,1569398374824.0,1,0,0
0.0,1569398375281.0,1,0,0
0.0,1569398375742.0,1,0,0
0.0,1569398376211.0,1,0,0
0.0,1569398376673.0,1,0,0
0.0,1569398377131.0,1,0,0
0.0,1569398377602.0,1,0,0
0.0,1569398378052.0,1,0,0
0.0,1569398378512.0,1,0,0
0.0,1569398378982.0,1,0,0
0.0,1569398379441.0,2,0,0
0.0,1569398379903.0,2,0,0
0.0,1569398380361.0,2,0,0
0.0,1569398380823.0,2,0,0
0.0,1569398381283.0,2,0,0
0.0,1569398381741.0,2,0,0
0.0,1569398382201.0,2,0,0
0.0,1569398382661.0,2,0,0
0.0,1569398383123.0,2,0,0
0.0,1569398383592.0,2,0,0
0.0,1569398384042.0,2,0,0
0.0,1569398384502.0,2,0,0
0.0,1569398384967.0,2,0,0
0.0,1569398385423.0,2,0,0
0.0,1569398385882.0,2,0,0
0.0,1569398386342.0,2,0,0
0.0,1569398386802.0,2,0,0
0.0,1569398387263.0,2,0,0
0.0,1569398387723.0,2,0,0
0.0,1569398388172.0,2,0,0
0.0,1569398388642.0,2,0,0
0.0,1569398389092.0,5,0,0
0.0,1569398389563.0,5,0,0
0.0,1569398390023.0,5,0,0
0.0,1569398390483.0,5,0,0
0.0,1569398390943.0,5,0,0
0.0,1569398391402.0,5,0,0
0.0,1569398391853.0,5,0,0
0.0,1569398392323.0,5,0,0
0.0,1569398392791.0,5,0,0
0.0,1569398393241.0,5,0,0
0.0,1569398393702.0,5,0,0
0.0,1569398394163.0,5,0,0
0.0,1569398394621.0,1,0,0
0.0,1569398395083.0,1,0,0
0.0,1569398395542.0,1,0,0
0.0,1569398395993.0,1,0,0
0.0,1569398396471.0,1,0,0
0.0,1569398396923.0,1,0,0
0.0,1569398397383.0,1,0,0
0.0,1569398397841.0,1,0,0
0.0,1569398398303.0,1,0,0
0.0,1569398398762.0,1,0,0
0.0,1569398399233.0,1,0,0
0.0,1569398399692.0,1,0,0
0.0,1569398400153.0,1,0,0
0.0,1569398400623.0,1,0,0
0.0,1569398401073.0,1,0,0
0.0,1569398401541.0,1,0,0
0.0,1569398401993.0,2,0,0
0.0,1569398402453.0,2,0,0
0.0,1569398402921.0,2,0,0
0.0,1569398403373.0,2,0,0
0.0,1569398403836.0,2,0,0
0.0,1569398404303.0,2,0,0
0.0,1569398404763.0,2,0,0
0.0,1569398405223.0,2,0,0
0.0,1569398405682.0,2,0,0
0.0,1569398406143.0,2,0,0
0.0,1569398406603.0,2,0,0
0.0,1569398407073.0,2,0,0
0.0,1569398407533.0,1,0,0
0.0,1569398407993.0,1,0,0
0.0,1569398408453.0,1,0,0
0.0,1569398408902.0,1,0,0
0.0,1569398409373.0,1,0,0
0.0,1569398409833.0,1,0,0
0.0,1569398410305.0,1,0,0
0.0,1569398410753.0,1,0,0
0.0,1569398411213.0,1,0,0
0.0,1569398411672.0,2,0,0
0.0,1569398412133.0,2,0,0
0.0,1569398412593.0,2,0,0
0.0,1569398413053.0,2,0,0
0.0,1569398413522.0,2,0,0
0.0,1569398413973.0,2,0,0
0.0,1569398414432.0,2,0,0
0.0,1569398414902.0,1,0,0
0.0,1569398415363.0,1,0,0
0.0,1569398415823.0,1,0,0
0.0,1569398416283.0,1,0,0
0.0,1569398416742.0,1,0,0
0.0,1569398417203.0,1,0,0
0.0,1569398417687.0,1,0,0
0.0,1569398418133.0,1,0,0
0.0,1569398418594.0,1,0,0
0.0,1569398419052.0,3,0,0
0.0,1569398419513.0,3,0,0
0.0,1569398419973.0,3,0,0
0.0,1569398420433.0,3,0,0
0.0,1569398420892.0,3,0,0
0.0,1569398421353.0,3,0,0
0.0,1569398421813.0,3,0,0
0.0,1569398422283.0,3,0,0
0.0,1569398422743.0,3,0,0
0.0,1569398423202.0,3,0,0
0.0,1569398423662.0,3,0,0
0.0,1569398424123.0,3,0,0
0.0,1569398424583.0,1,0,0
0.0,1569398425043.0,1,0,0
0.0,1569398425513.0,1,0,0
0.0,1569398425973.0,1,0,0
0.0,1569398426433.0,1,0,0
0.0,1569398426893.0,1,0,0
