DT_engineRPM,Timestamp,Action,Bump,Traffic congestion
910.0,1569321308458.0,6,0,0
887.0,1569321308918.0,6,0,0
865.0,1569321309378.0,6,0,0
854.0,1569321309839.0,6,0,0
845.0,1569321310289.0,6,0,0
948.5,1569321310760.0,6,0,0
1552.5,1569321311219.0,6,0,0
1772.0,1569321311680.0,6,0,0
1876.5,1569321312141.0,6,0,0
2056.5,1569321312599.0,6,0,0
2066.0,1569321313058.0,6,0,0
1537.5,1569321313518.0,6,0,0
1452.0,1569321313978.0,6,0,0
1480.5,1569321314438.0,6,0,0
1516.5,1569321314898.0,6,0,0
1559.5,1569321315364.0,6,0,0
1601.0,1569321315819.0,6,0,0
1591.5,1569321316278.0,6,0,0
1576.0,1569321316740.0,1,0,0
1548.5,1569321317199.0,1,0,0
1530.0,1569321317659.0,1,0,0
1440.5,1569321318118.0,1,0,0
1300.5,1569321318578.0,1,0,0
1206.0,1569321319039.0,1,0,0
1135.5,1569321319569.0,1,0,0
1049.5,1569321319968.0,5,0,0
1000.5,1569321320428.0,5,0,0
964.0,1569321320892.0,5,0,0
949.5,1569321321338.0,5,0,0
1115.5,1569321321818.0,5,0,0
1310.0,1569321322268.0,5,0,0
1320.0,1569321322731.0,5,0,0
1386.5,1569321323189.0,5,0,0
1409.0,1569321323649.0,5,0,0
1404.5,1569321324109.0,5,0,0
1395.0,1569321324569.0,5,0,0
1407.0,1569321325029.0,5,0,0
1368.5,1569321325489.0,1,0,0
1289.0,1569321325949.0,1,0,0
1190.0,1569321326409.0,1,0,0
1089.5,1569321326869.0,1,0,0
1034.5,1569321327329.0,1,0,0
967.5,1569321327788.0,1,0,0
935.0,1569321328249.0,1,0,0
892.0,1569321328709.0,6,0,0
867.0,1569321329168.0,6,0,0
858.0,1569321329629.0,6,0,0
836.0,1569321330088.0,6,0,0
828.0,1569321330549.0,6,0,0
837.0,1569321331009.0,6,0,0
992.0,1569321331468.0,6,0,0
1402.5,1569321331928.0,6,0,0
1772.5,1569321332389.0,6,0,0
1865.5,1569321332859.0,6,0,0
1971.0,1569321333309.0,6,0,0
