speed_data,Timestamp,Action,Bump,Traffic congestion
1,1576223810406,1,0,1
0,1576223810856,0,0,0
0,1576223811306,0,0,0
0,1576223811756,0,0,0
0,1576223812206,0,0,0
0,1576223812656,0,0,0
0,1576223813106,0,0,0
0,1576223813556,0,0,0
0,1576223814006,0,0,0
0,1576223814456,0,0,0
0,1576223814906,0,0,0
0,1576223815356,0,0,0
0,1576223815806,0,0,0
0,1576223816256,0,0,0
0,1576223816706,0,0,0
0,1576223817156,0,0,0
0,1576223817606,0,0,0
0,1576223818056,0,0,0
0,1576223818506,0,0,0
0,1576223818956,1,0,0
1,1576223819406,1,0,0
3,1576223819856,1,0,0
5,1576223820306,1,0,0
6,1576223820756,1,0,0
7,1576223821206,1,0,0
8,1576223821656,1,0,0
10,1576223822106,1,0,0
12,1576223822556,1,0,0
14,1576223823006,1,0,0
15,1576223823456,1,0,0
16,1576223823906,1,0,0
16,1576223824356,1,0,0
16,1576223824806,1,0,0
16,1576223825256,1,0,0
17,1576223825706,1,0,0
18,1576223826156,1,0,0
19,1576223826606,1,0,0
20,1576223827056,1,0,0
20,1576223827506,1,0,0
20,1576223827956,1,0,0
20,1576223828406,1,0,0
20,1576223828856,1,0,0
20,1576223829306,1,0,0
20,1576223829756,1,0,0
19,1576223830206,1,0,0
19,1576223830656,1,0,0
19,1576223831106,1,0,0
19,1576223831556,1,0,0
19,1576223832006,1,0,0
20,1576223832456,1,0,0
20,1576223832906,1,0,0
19,1576223833356,3,0,0
19,1576223833806,3,0,0
19,1576223834256,3,0,0
19,1576223834706,3,0,0
17,1576223835156,3,0,0
13,1576223835606,3,0,0
9,1576223836056,3,0,0
7,1576223836506,3,0,0
7,1576223836956,3,0,0
7,1576223837406,3,0,0
8,1576223837856,3,0,0
8,1576223838306,3,0,0
8,1576223838756,3,0,0
8,1576223839206,3,0,0
9,1576223839655,3,0,0
10,1576223840105,3,0,0
12,1576223840556,3,0,0
14,1576223841005,3,0,0
14,1576223841455,1,0,0
15,1576223841905,1,0,0
14,1576223842368,1,0,0
14,1576223842815,1,0,0
15,1576223843266,1,0,0
15,1576223843715,1,0,0
16,1576223844165,1,0,0
16,1576223844615,1,0,0
16,1576223845066,1,0,0
16,1576223845515,1,0,0
15,1576223845965,1,0,0
15,1576223846415,3,0,0
14,1576223846866,3,0,0
14,1576223847315,3,0,0
14,1576223847765,3,0,0
14,1576223848215,3,0,0
14,1576223848665,3,0,0
15,1576223849116,3,0,0
16,1576223849565,3,0,0
16,1576223850015,3,0,0
16,1576223850465,3,0,0
16,1576223850916,3,0,0
17,1576223851365,3,0,0
17,1576223851815,3,0,0
18,1576223852265,3,0,0
18,1576223852715,3,0,0
19,1576223853166,3,0,0
19,1576223853615,3,0,0
20,1576223854066,3,0,0
20,1576223854515,3,0,0
20,1576223854966,3,0,0
21,1576223855416,3,0,0
