DT_verticalAccOri,Timestamp,Action,Bump,Traffic congestion
0.093,1569400785689.0,2,1,0
-0.188,1569400786147.0,2,1,0
-0.219,1569400786607.0,2,1,0
-0.34400000000000003,1569400787057.0,2,1,0
-0.313,1569400787517.0,2,1,0
-0.46900000000000003,1569400787977.0,2,1,0
-0.5,1569400788437.0,2,1,0
-0.5,1569400788897.0,2,1,0
-0.40700000000000003,1569400789357.0,2,1,0
-0.438,1569400789827.0,2,1,0
-0.125,1569400790287.0,2,1,0
-0.375,1569400790747.0,2,1,0
-0.969,1569400791214.0,2,1,0
-0.188,1569400791667.0,-1,1,0
-0.094,1569400792136.0,-1,1,0
-0.063,1569400792597.0,-1,1,0
-0.063,1569400793063.0,-1,1,0
0.0,1569400793516.0,-1,1,0
-0.188,1569400793977.0,-1,1,0
-0.219,1569400794437.0,-1,1,0
-0.157,1569400794897.0,-1,1,0
-0.094,1569400795367.0,-1,1,0
-0.032,1569400795842.0,-1,1,0
-0.063,1569400796288.0,-1,1,0
0.0,1569400796747.0,1,1,0
0.093,1569400797207.0,1,1,0
-0.032,1569400797667.0,1,1,0
0.0,1569400798127.0,2,0,0
-0.032,1569400798586.0,2,0,0
0.0,1569400799047.0,2,0,0
-0.032,1569400799506.0,2,0,0
-0.34400000000000003,1569400799967.0,2,0,0
-0.782,1569400800428.0,2,0,0
-1.063,1569400800886.0,2,0,0
-1.094,1569400801357.0,2,0,0
-0.75,1569400801808.0,2,0,0
0.25,1569400802267.0,2,0,0
0.437,1569400802727.0,2,0,0
-0.032,1569400803195.0,3,0,0
-0.188,1569400803647.0,3,0,0
-0.125,1569400804106.0,3,0,0
-0.375,1569400804567.0,3,0,0
-0.25,1569400805017.0,3,0,0
-0.313,1569400805488.0,3,0,0
-0.219,1569400805947.0,3,0,0
-0.094,1569400806396.0,3,0,0
0.468,1569400806857.0,3,0,0
0.75,1569400807328.0,3,0,0
0.531,1569400807795.0,1,0,0
0.343,1569400808237.0,1,0,0
0.312,1569400808697.0,5,0,0
0.031,1569400809157.0,5,0,0
-0.094,1569400809616.0,5,0,0
-0.219,1569400810076.0,5,0,0
-0.219,1569400810537.0,5,0,0
-0.157,1569400811006.0,5,0,0
-0.094,1569400811467.0,5,0,0
0.0,1569400811917.0,5,0,0
0.0,1569400812387.0,5,0,0
0.0,1569400812842.0,5,0,0
-0.157,1569400813296.0,5,0,0
-0.188,1569400813756.0,5,0,0
-0.188,1569400814217.0,1,0,0
-0.125,1569400814677.0,1,0,0
-0.063,1569400815137.0,1,0,0
-0.032,1569400815596.0,1,0,0
-0.063,1569400816056.0,2,0,0
-0.032,1569400816517.0,2,0,0
-0.032,1569400816978.0,2,0,0
0.0,1569400817436.0,2,0,0
-0.032,1569400817898.0,2,0,0
-0.219,1569400818359.0,2,0,0
-0.25,1569400818806.0,2,0,0
-0.219,1569400819276.0,2,0,0
-0.25,1569400819738.0,2,0,0
-0.157,1569400820205.0,2,0,0
-0.063,1569400820656.0,2,0,0
-0.063,1569400821117.0,2,0,0
0.781,1569400821577.0,1,0,0
0.937,1569400822037.0,1,0,0
0.5,1569400822496.0,1,0,0
0.656,1569400822958.0,1,0,0
0.312,1569400823417.0,1,0,0
0.312,1569400823877.0,1,0,0
0.343,1569400824338.0,1,0,0
0.0,1569400824798.0,1,0,0
-0.094,1569400825258.0,4,0,0
-0.219,1569400825717.0,4,0,0
-0.125,1569400826177.0,4,0,0
-0.188,1569400826628.0,4,0,0
-0.28200000000000003,1569400827087.0,4,0,0
-0.25,1569400827557.0,4,0,0
-0.25,1569400828007.0,4,0,0
-0.125,1569400828467.0,4,0,0
0.0,1569400828928.0,4,0,0
0.031,1569400829398.0,4,0,0
0.093,1569400829873.0,4,0,0
0.062,1569400830330.0,4,0,0
-0.063,1569400830777.0,4,0,0
-0.094,1569400831236.0,1,0,0
-0.063,1569400831696.0,1,0,0
-0.063,1569400832158.0,1,0,0
-0.657,1569400832617.0,2,0,0
-0.8130000000000001,1569400833067.0,2,0,0
-0.8130000000000001,1569400833538.0,2,0,0
-0.782,1569400833998.0,2,0,0
-0.719,1569400834458.0,2,0,0
-0.375,1569400834918.0,2,0,0
