DT_vehicleSpeed,Timestamp,Action,Bump,Traffic congestion
11.0,1569400386794.0,1,0,0
13.0,1569400387254.0,1,0,0
14.0,1569400387715.0,1,0,0
16.0,1569400388175.0,1,0,0
17.0,1569400388624.0,1,0,0
17.0,1569400389086.0,1,0,0
17.0,1569400389545.0,1,0,0
16.0,1569400390005.0,1,0,0
16.0,1569400390475.0,1,0,0
16.0,1569400390935.0,1,0,0
16.0,1569400391396.0,1,0,0
15.0,1569400391854.0,1,0,0
15.0,1569400392304.0,1,0,0
15.0,1569400392776.0,1,0,0
15.0,1569400393235.0,1,0,0
15.0,1569400393695.0,1,0,0
15.0,1569400394221.0,4,0,0
15.0,1569400394614.0,4,0,0
15.0,1569400395084.0,4,0,0
15.0,1569400395535.0,4,0,0
14.0,1569400395994.0,4,0,0
14.0,1569400396454.0,4,0,0
14.0,1569400396915.0,4,0,0
14.0,1569400397374.0,4,0,0
13.0,1569400397835.0,4,0,0
13.0,1569400398294.0,4,0,0
13.0,1569400398745.0,4,0,0
13.0,1569400399231.0,4,0,0
13.0,1569400399665.0,2,0,0
12.0,1569400400136.0,2,0,0
12.0,1569400400595.0,2,0,0
12.0,1569400401055.0,2,0,0
12.0,1569400401538.0,2,0,0
12.0,1569400401975.0,2,0,0
12.0,1569400402434.0,2,0,0
11.0,1569400402895.0,2,0,0
11.0,1569400403355.0,2,0,0
11.0,1569400403815.0,2,0,0
10.0,1569400404275.0,2,0,0
10.0,1569400404725.0,2,0,0
10.0,1569400405195.0,2,0,0
10.0,1569400405645.0,1,0,0
11.0,1569400406105.0,1,0,0
11.0,1569400406564.0,1,0,0
11.0,1569400407026.0,1,0,0
11.0,1569400407485.0,1,0,0
11.0,1569400407944.0,1,0,0
10.0,1569400408404.0,2,0,0
10.0,1569400408865.0,2,0,0
10.0,1569400409325.0,2,0,0
10.0,1569400409785.0,2,0,0
11.0,1569400410258.0,2,0,0
11.0,1569400410705.0,2,0,0
11.0,1569400411165.0,2,0,0
11.0,1569400411625.0,2,0,0
11.0,1569400412096.0,2,0,0
10.0,1569400412545.0,2,0,0
11.0,1569400413005.0,1,0,0
11.0,1569400413465.0,1,0,0
12.0,1569400413935.0,1,0,0
12.0,1569400414395.0,1,0,0
12.0,1569400414855.0,1,0,0
12.0,1569400415315.0,1,0,0
12.0,1569400415776.0,1,0,0
12.0,1569400416260.0,1,0,0
12.0,1569400416705.0,1,0,0
13.0,1569400417165.0,1,0,0
12.0,1569400417625.0,3,0,0
12.0,1569400418095.0,3,0,0
12.0,1569400418555.0,3,0,0
12.0,1569400419015.0,3,0,0
12.0,1569400419475.0,3,0,0
12.0,1569400419935.0,3,0,0
11.0,1569400420395.0,3,0,0
11.0,1569400420855.0,3,0,0
11.0,1569400421315.0,3,0,0
11.0,1569400421785.0,3,0,0
11.0,1569400422235.0,3,0,0
12.0,1569400422695.0,1,0,0
13.0,1569400423155.0,1,0,0
14.0,1569400423615.0,1,0,0
14.0,1569400424075.0,1,0,0
15.0,1569400424545.0,1,0,0
16.0,1569400425005.0,1,0,0
16.0,1569400425455.0,1,0,0
15.0,1569400425915.0,2,0,0
15.0,1569400426375.0,2,0,0
15.0,1569400426835.0,2,0,0
15.0,1569400427295.0,2,0,0
15.0,1569400427755.0,2,0,0
15.0,1569400428225.0,2,0,0
14.0,1569400428685.0,2,0,0
14.0,1569400429145.0,2,0,0
14.0,1569400429610.0,2,0,0
14.0,1569400430082.0,2,0,0
14.0,1569400430535.0,1,0,0
14.0,1569400430995.0,1,0,0
14.0,1569400431455.0,1,0,0
15.0,1569400431915.0,1,0,0
15.0,1569400432375.0,1,0,0
16.0,1569400432835.0,1,0,0
16.0,1569400433295.0,1,0,0
16.0,1569400433755.0,1,0,0
16.0,1569400434222.0,1,0,0
15.0,1569400434675.0,1,0,0
15.0,1569400435145.0,1,0,0
15.0,1569400435605.0,1,0,0
15.0,1569400436065.0,1,0,0
15.0,1569400436515.0,1,0,0
14.0,1569400436975.0,1,0,0
14.0,1569400437442.0,1,0,0
14.0,1569400437895.0,1,0,0
12.0,1569400438355.0,1,0,0
11.0,1569400438815.0,1,0,0
9.0,1569400439285.0,1,0,0
9.0,1569400439745.0,1,0,0
7.0,1569400440205.0,3,0,0
6.0,1569400440665.0,3,0,0
5.0,1569400441124.0,3,0,0
5.0,1569400441585.0,3,0,0
5.0,1569400442045.0,3,0,0
6.0,1569400442505.0,3,0,0
6.0,1569400442965.0,3,0,0
7.0,1569400443425.0,3,0,0
7.0,1569400443885.0,3,0,0
6.0,1569400444345.0,3,0,0
6.0,1569400444805.0,3,0,0
6.0,1569400445265.0,3,0,0
5.0,1569400445725.0,3,0,0
5.0,1569400446185.0,3,0,0
5.0,1569400446645.0,3,0,0
6.0,1569400447095.0,3,0,0
6.0,1569400447555.0,3,0,0
7.0,1569400448015.0,1,0,0
8.0,1569400448475.0,1,0,0
9.0,1569400448935.0,1,0,0
11.0,1569400449395.0,1,0,0
12.0,1569400449855.0,1,0,0
12.0,1569400450315.0,1,0,0
11.0,1569400450781.0,1,0,0
11.0,1569400451235.0,1,0,0
11.0,1569400451695.0,1,0,0
10.0,1569400452155.0,1,0,0
10.0,1569400452617.0,1,0,0
10.0,1569400453075.0,1,0,0
9.0,1569400453545.0,1,0,0
10.0,1569400454004.0,1,0,0
11.0,1569400454465.0,1,0,0
12.0,1569400454925.0,1,0,0
14.0,1569400455385.0,1,0,0
13.0,1569400455845.0,1,0,0
13.0,1569400456305.0,1,0,0
12.0,1569400456765.0,1,0,0
12.0,1569400457235.0,1,0,0
12.0,1569400457695.0,1,0,0
12.0,1569400458155.0,1,0,0
12.0,1569400458615.0,1,0,0
12.0,1569400459085.0,1,0,0
12.0,1569400459596.0,1,0,0
12.0,1569400460005.0,1,0,0
13.0,1569400460455.0,1,0,0
13.0,1569400460925.0,1,0,0
13.0,1569400461385.0,1,0,0
14.0,1569400461845.0,1,0,0
14.0,1569400462305.0,1,0,0
14.0,1569400462765.0,1,0,0
14.0,1569400463226.0,1,0,0
14.0,1569400463685.0,1,0,0
